,CATEGORY (i.e.ISCED description),INSTITUTION and COURSE,Course Code,pointsR1,R1 Random *,pointsR2,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Round_1_Points,Round_2_Points,EOS_Points
532,Arts,Contemporary Art,GA273,702,,,,702,,892,7,Galway-Mayo Institute of Technology,#,,,,,,,,,,,,,
533,Arts,Design,GA274,251,,,,251,,378,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
539,Personal services,Business in Tourism,GA360,172,,172,,172,,260,6,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,,,
540,Personal services,Culinary Arts,GA361,193,,,,193,,375,6,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
541,Personal services,Hotel and Hospitality Operations,GA362,240,,228,,228,,330,6,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,,,
542,Social and behavioural sciences,Heritage Studies,GA364,252,,252,,252,,369,6,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,,,
543,Personal services,Hotel and Catering Management,GA370,198,,,,198,,362,7,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,,,
544,Personal services,Event Management with Public Relations,GA376,206,,187,,187,,348,7,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,,,
545,Personal services,International Tourism Management,GA377,172,,,,172,,360,7,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,,,
546,Manufacturing and processing,Culinary and Gastronomic Science,GA378,219,,,,219,,432,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
551,Architecture and construction,Construction Management,GA470,244,,243,,243,,349,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
552,Architecture and construction,Quantity Surveying and Construction Economics,GA471,200,,,,200,,347,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
553,Architecture and construction,Architectural Technology,GA472,226,,,,226,,367,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
554,Architecture and construction,Civil Engineering,GA473,241,,,,241,,432,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
559,Engineering and engineering trades,Software and Electronic Engineering,GA570,224,,,,224,,399,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
561,Engineering and engineering trades,Mechanical Engineering,GA670,265,,,,265,,413,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
562,Engineering and engineering trades,Energy Engineering,GA673,260,,,,260,,452,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
563,Engineering and engineering trades,Biomedical Engineering,GA674,298,,,,298,,455,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
564,Engineering and engineering trades,Agricultural Engineering,GA675,298,,,,298,,386,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
565,Engineering and engineering trades,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),GA676,290,,,,290,,465,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
566,Manufacturing and processing,Manufacturing Engineering Design,GA677,235,,,,235,,379,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
573,Biological and related sciences,Applied Freshwater and Marine Biology,GA770,280,,,,280,,388,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
574,Biological and related sciences,Applied Biology and Biopharmaceutical Science,GA771,280,,,,280,,465,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
575,Environment,Chemical and Pharmaceutical Science,GA772,280,,,,280,,487,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
576,Physical sciences,Physics and Instrumentation,GA773,299,,,,299,,521,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
577,Biological and related sciences,Science (Undenominated),GA774,289,,,,289,,490,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
578,Information and Communication Technologies (ICTs),Computing in Software Development,GA775,260,,,,260,,356,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
579,Information and Communication Technologies (ICTs),Computing and Digital Media,GA776,241,,,,241,,381,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
580,Agriculture,Agriculture and Environmental Management,GA777,281,,,,281,,393,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
593,Humanities (except languages),History & Geography,GA862,178,,,,178,,382,6,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,,,
594,Education,Early Childhood Education and Care,GA864,214,,204,,204,,357,6,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,,,
595,Personal services,Outdoor Education and Leisure,GA870,182,,171,,171,,399,7,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,,,
596,Education,Early Childhood Education and Care,GA871,190,,,,190,,367,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
597,Social and behavioural sciences,Culture and Environment,GA872,196,,,,196,,328,7,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,,,
598,Welfare,Applied Social Care,GA879,244,,,,244,,337,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
606,Arts,"Furniture Design, Making and Technology - Common Entry",GA974,214,,,,214,,388,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
609,Business and administration,Business,GB001,,,,,115,,415,7,Galway Business School,,avp,,,,,,,,,,,,
618,Personal services,International Hospitality Management,GC306,253,,253,,253,,253,7,Griffith College,,avp,,,,,,,,,,,,
619,Information and Communication Technologies (ICTs),Computing,GC335,217,,195,,195,,235,7,Griffith College,,avp,,,,,,,,,,,,
625,Business and administration,Marketing,GC410,145,,,,145,,371,7,Griffith College,,avp,,,,,,,,,,,,
626,Business and administration,Business,GC411,135,,135,,135,,370,7,Griffith College,,avp,,,,,,,,,,,,
628,Information and Communication Technologies (ICTs),Computing,GC435,AQA,,AQA,,96,,279,7,Griffith College,,avp,,,,,,,,,,,,
630,Arts,Music Production for Games (portfolio),GC460,,,,,,,,6,Griffith College,#,avp,,,,,,,,,,,,
632,Journalism and information,Communications,GC465,AQA,,,,AQA,,349,7,Griffith College,,avp,,,,,,,,,,,,
633,Arts,Film and TV Production,GC466,AQA,,AQA,,AQA,,339,7,Griffith College,,avp,,,,,,,,,,,,
634,Arts,Photographic Media,GC470,169,,169,,169,,279,7,Griffith College,,avp,,,,,,,,,,,,
635,Arts,Photography,GC475,150,,150,,150,,348,6,Griffith College,,avp,,,,,,,,,,,,
637,Arts,Interior Design,GC490,117,,117,,117,,360,7,Griffith College,,avp,,,,,,,,,,,,
639,Arts,Fashion,GC495,129,,129,,129,,349,7,Griffith College,,avp,,,,,,,,,,,,
716,Business and administration,Accounting and Finance,LC221,241,,,,251,,489,6,Limerick Institute of Technology,,,,,,,,,,,,,,
717,Business and administration,Marketing and Management,LC222,270,,,,270,,405,6,Limerick Institute of Technology,,,,,,,,,,,,,,
722,Personal services,Sports Development and Coaching,LC228,205,,,,205,,341,6,Limerick Institute of Technology,,,,,,,,,,,,,,
723,Information and Communication Technologies (ICTs),Business with Computing,LC230,217,,,,217,,386,7,Limerick Institute of Technology,,,,,,,,,,,,,,
726,Information and Communication Technologies (ICTs),Internet Systems Development,LC235,205,,,,205,,315,7,Limerick Institute of Technology,,,,,,,,,,,,,,
733,Architecture and construction,Civil Engineering,LC251,206,,,,206,,377,7,Limerick Institute of Technology,,,,,,,,,,,,,,
735,Arts,Interior Design,LC257,264,,,,264,,378,7,Limerick Institute of Technology,,,,,,,,,,,,,,
736,Biological and related sciences,Applied Biology,LC260,326,,,,326,,466,7,Limerick Institute of Technology,,,,,,,,,,,,,,
740,Physical sciences,Forensic and Pharmaceutical Sciences,LC267,329,,,,329,,443,7,Limerick Institute of Technology,,,,,,,,,,,,,,
741,Health,Medical Technology,LC268,289,,,,289,,411,7,Limerick Institute of Technology,,,,,,,,,,,,,,
742,Arts,Music Technology and Production,LC270,307,,,,307,,398,7,Limerick Institute of Technology,,,,,,,,,,,,,,
