Course Code,Course Title,EOS 2021,EOS Mid 2021,EOS 2020,EOS Mid 2020,EOS 2019,EOS Mid 2019,EOS 2018,EOS Mid 2018
CW048,Creative Computing and Digital Innovation,,0.0,,,,,,
CW058,Tourism and Event Management,292,356.0,298,348.0,252,262,,
CW068,Applied Social Studies in Professional Social Care,250,306.0,245,292.0,251,280,260,287
CW078,Sustainable Farm Management and Agribusiness,270,363.0,269,327.0,266,320,270,324
CW088,Visual Communications and Design,270,290.0,274,340.0,309,345,270,327
CW108,Science (options),266,361.0,261,346.0,261,326,276,329
CW128,Brewing and Distilling,307,349.0,263,318.0,271,298,,
CW138,Sport and Exercise Science,423,462.0,423,444.0,,,,
CW148,Strength and Conditioning,388,409.0,379,400.0,,,,
CW188,Sport Rehabilitation and Athletic Therapy,451,488.0,448,466.0,454,473,440,464
CW208,Computer Games Development,272,333.0,279,327.0,281,338,280,347
CW238,Software Development,295,387.0,297,341.0,300,343,298,326
CW248,Information Technology Management,293,338.0,285,385.0,307,357,288,329
CW258,Cybercrime and IT Security,292,382.0,293,358.0,300,328,290,319
CW268,Computing in Interactive Digital Art and Design,291,384.0,287,369.0,274,321,,
CW438,Construction (options),251,336.0,272,336.0,271,308,263,303
CW468,Architectural Technology,283,353.0,262,358.0,252,290,260,317
CW478,Civil Engineering,465,465.0,433,492.0,348,383,331,372
CW548,Mechanical Engineering,328,396.0,321,371.0,310,351,323,352
CW558,Electronic Systems,280,380.0,280,361.0,279,338,262,323
CW568,Aerospace Engineering,359,433.0,380,442.0,366,422,368,412
CW578,TV and Media Production,318,358.0,325,420.0,327,361,360,388
CW708,Law - LLB,292,390.0,302,349.0,298,328,298,343
CW728,Product Design Innovation,246,370.0,252,359.0,286,355,252,330
CW748,Early Childhood Education and Care,290,377.0,270,327.0,265,338,275,308
CW758,Professional Social Care Practice,358,397.0,336,358.0,290,319,270,317
CW808,Media and Public Relations,247,316.0,251,298.0,248,307,252,336
CW848,Digital Marketing with Analytics,269,336.0,269,326.0,279,307,,
CW858,"Sports Management and Coaching (options, portfolio)",700,700.0,700,700.0,700,700,700,700
CW908,Business (options),272,348.0,280,357.0,260,307,270,307
CW938,Business with Law,270,382.0,283,301.0,270,288,281,338
CW948,Accounting,319,454.0,300,364.0,301,408,307,361
PC405,"Social, Political and Community Studies",235,298.0,216,311.0,251,296,227,255
PC410,Arts and Humanities (fulfils Teaching Council requirements),230,336.0,209,300.0,203,289,219,289
PC411,English and History (fulfils Teaching Council requirements),224,356.0,209,310.0,168,289,228,288
CR105,Chemical and Biopharmaceutical Engineering,443,532.0,443,532.0,432,498,444,510
CR106,Software Development,431,476.0,411,463.0,351,393,350,403
CR108,Mechanical Engineering,434,509.0,434,509.0,425,487,416,490
CR109,Structural Engineering,396,465.0,394,423.0,341,467,366,466
CR110,Automotive Business Management and Technology,336,388.0,311,362.0,318,347,,
CR112,Creative Digital Media at CIT Crawford College of Art and Design,390,455.0,361,430.0,335,389,336,391
CR116,Computer Systems,365,400.0,332,393.0,318,381,316,347
CR121,Music at CIT Cork School of Music,904,1141.0,912,1078.0,633,1052,628,1016
CR125,Popular Music at CIT Cork School of Music,1028,1029.0,1088,1088.0,972,1021,836,875
CR130,Musical Theatre at CIT Cork School of Music,525,600.0,505,600.0,500,600,,
CR150,Business Information Systems,350,409.0,335,391.0,326,371,316,362
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",450,450.0,,,979,979,666,833
CR220,Fine Art at CIT Crawford College of Art and Design,400,400.0,,,620,819,565,877
CR225,Photography with New Media at CIT Crawford College of Art and Design,435,560.0,,,920,920,,
CR305,Physical Sciences (Common Entry),260,357.0,282,356.0,279,309,320,328
CR310,IT Management,347,372.0,297,339.0,282,317,290,342
CR320,Biomedical Science - Offered jointly by CIT and UCC,590,601.0,565,577.0,546,556,521*,542
CR325,Pharmaceutical Biotechnology,466,488.0,398,440.0,388,422,371,409
CR333,Nutrition and Health Science,425,455.0,402,433.0,360,393,350,389
