Course Code,Course Title,points_r1_2021,points_r2_2021,EOS 2021,EOS Mid 2021,points_r1_2020,points_r2_2020,EOS 2020,EOS Mid 2020,EOS 2019,EOS Mid 2019,EOS 2018,EOS Mid 2018
CW728,Product Design Innovation,246.0,,246.0,370.0,252.0,,252.0,359.0,286.0,,252.0,330.0
CW748,Early Childhood Education and Care,290.0,,290.0,377.0,270.0,,270.0,327.0,265.0,,275.0,308.0
CW758,Professional Social Care Practice,360.0,358.0,358.0,397.0,336.0,,336.0,358.0,290.0,,270.0,317.0
CW808,Media and Public Relations,247.0,,247.0,316.0,251.0,,251.0,298.0,248.0,,252.0,336.0
CW848,Digital Marketing with Analytics,269.0,,269.0,336.0,254.0,,269.0,326.0,279.0,,,
CW858,"Sports Management and Coaching (options, portfolio)",700.0,,700.0,700.0,700.0,,700.0,700.0,700.0,,700.0,700.0
CW908,Business (options),272.0,,272.0,348.0,280.0,,280.0,357.0,260.0,,270.0,307.0
CW938,Business with Law,270.0,,270.0,382.0,283.0,,283.0,301.0,270.0,,281.0,338.0
CW948,Accounting,319.0,,319.0,454.0,300.0,,300.0,364.0,301.0,,307.0,361.0
PC405,"Social, Political and Community Studies",263.0,235.0,235.0,298.0,253.0,216.0,216.0,311.0,251.0,,227.0,255.0
PC410,Arts and Humanities (fulfils Teaching Council requirements),262.0,230.0,230.0,336.0,252.0,209.0,209.0,300.0,203.0,,219.0,289.0
PC411,English and History (fulfils Teaching Council requirements),243.0,224.0,224.0,356.0,255.0,209.0,209.0,310.0,168.0,,228.0,288.0
CR105,Chemical and Biopharmaceutical Engineering,443.0,,443.0,532.0,443.0,,443.0,532.0,432.0,,444.0,510.0
CR106,Software Development,431.0,,431.0,476.0,411.0,,411.0,463.0,351.0,,350.0,403.0
CR108,Mechanical Engineering,434.0,,434.0,509.0,434.0,,434.0,509.0,425.0,,416.0,490.0
CR109,Structural Engineering,396.0,,396.0,465.0,394.0,,394.0,423.0,341.0,,366.0,466.0
CR110,Automotive Business Management and Technology,336.0,,336.0,388.0,311.0,,311.0,362.0,318.0,,,
CR112,Creative Digital Media at CIT Crawford College of Art and Design,390.0,,390.0,455.0,361.0,,361.0,430.0,335.0,,336.0,391.0
CR116,Computer Systems,365.0,,365.0,400.0,332.0,,332.0,393.0,318.0,,316.0,347.0
CR121,Music at CIT Cork School of Music,904.0,904.0,904.0,1141.0,868.0,,912.0,1078.0,633.0,,628.0,1016.0
CR125,Popular Music at CIT Cork School of Music,1028.0,,1028.0,1029.0,1088.0,,1088.0,1088.0,972.0,,836.0,875.0
CR130,Musical Theatre at CIT Cork School of Music,525.0,,525.0,600.0,548.0,518.0,505.0,600.0,500.0,,,
CR150,Business Information Systems,350.0,,350.0,409.0,335.0,,335.0,391.0,326.0,,316.0,362.0
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",450.0,,450.0,450.0,,,,,979.0,,666.0,833.0
CR220,Fine Art at CIT Crawford College of Art and Design,400.0,,400.0,400.0,,,,,620.0,,565.0,877.0
CR225,Photography with New Media at CIT Crawford College of Art and Design,435.0,,435.0,560.0,,,,,920.0,,,
CR305,Physical Sciences (Common Entry),260.0,,260.0,357.0,282.0,,282.0,356.0,279.0,,320.0,328.0
CR310,IT Management,347.0,,347.0,372.0,297.0,,297.0,339.0,282.0,,290.0,342.0
CR320,Biomedical Science - Offered jointly by CIT and UCC,590.0,,590.0,601.0,565.0,,565.0,577.0,546.0,,521.0,542.0
CR325,Pharmaceutical Biotechnology,466.0,,466.0,488.0,398.0,,398.0,440.0,388.0,,371.0,409.0
CR333,Nutrition and Health Science,425.0,,425.0,455.0,402.0,,402.0,433.0,360.0,,350.0,389.0
CR335,Biological Sciences (Common Entry),473.0,,473.0,507.0,420.0,,420.0,451.0,381.0,,381.0,419.0
CR340,Analytical Chemistry with Quality Assurance,327.0,,327.0,400.0,251.0,,251.0,366.0,288.0,,327.0,357.0
CR360,Instrument Engineering,301.0,,301.0,378.0,261.0,,261.0,388.0,291.0,,297.0,362.0
CR365,Environmental Science and Sustainable Technology,262.0,,262.0,347.0,253.0,,253.0,341.0,334.0,,307.0,366.0
CR370,Agri-Biosciences,368.0,,368.0,423.0,397.0,,397.0,453.0,408.0,,,
CR400,Accounting,315.0,,315.0,423.0,316.0,,316.0,413.0,316.0,,308.0,377.0
