,index,Course Code,Course Title,EOS,Mid,EOS_Points
356,31,LC286,Road Transport Technology and Management,231,330.0,231
357,32,LC290,Community Sports Development,201,291.0,201
358,33,LC296,Hotel Front Office Management,146,252.0,146
359,34,LC298,Culinary Arts,146,291.0,146
360,35,LC299,Hospitality Studies,117,241.0,117
361,36,LC412,Business (Marketing and Management - Thurles),195,311.0,195
362,37,LC423,Sports Strength and Conditioning (Thurles),234,329.0,234
363,38,LC425,Environmental and Geographical Sciences (Thurles),246,369.0,246
364,39,LC428,Environmental Management in Agriculture (Thurles),233,350.0,233
365,40,LC432,Early Childhood Care and Education (Thurles),144,318.0,144
366,41,LC504,Creative Media & Design (Clonmel),180,320.0,180
367,42,LC515,Digital Animation Production (Portfolio - Clonmel),#802,837.0,#802
368,43,LC516,Game Art and Design Production (Portfolio - Clonmel),#767,912.0,#767
369,44,LC602,Social Care Work (Ennis),311,357.0,311
370,45,LC603,Early Childhood Care and Education (Ennis),122,309.0,122
371,48,LM180,Equine Science,301,378.0,301
372,51,SG101,Business,112,243.0,112
373,52,SG102,Computing (Undenominated),105,190.0,105
374,53,SG105,Business in Office Administration,AQA,177.0,AQA
375,54,SG108,Business in Accounting,216,378.0,216
376,1,SG131,Computing - Games Development,198,312.0,198
377,2,SG134,Applied Sport with Business,AQA,252.0,AQA
378,3,SG135,Business in Tourism with Event Management,153,317.0,153
379,4,SG136,Computing - Software Development,207,274.0,207
380,5,SG137,Computing Networks and Cloud Infrastructure,205,272.0,205
381,6,SG138,Computing (Undenominated),236,289.0,236
382,7,SG231,Fine Art,#345,561.0,#345
383,8,SG232,Creative Design,206,261.0,206
384,9,SG235,Performing Arts (Theatre Design),271,347.0,271
385,10,SG236,Performing Arts (Acting),224,319.0,224
386,11,SG300,Engineering (Undenominated),189,300.0,189
387,12,SG301,Civil Engineering,143,340.0,143
388,13,SG302,Construction Economics,189,330.0,189
389,14,SG303,Mechanical Engineering,178,242.0,178
390,15,SG305,Electronic and Computer Engineering,198,198.0,198
391,16,SG306,Mechatronics,242,556.0,242
392,17,SG307,Precision Engineering and Design,240,240.0,240
393,18,SG330,Engineering (Undenominated),250,403.0,250
394,19,SG331,Interior Architecture and Design,206,327.0,206
395,20,SG332,Advanced Wood and Sustainable Building Technology,170,278.0,170
396,21,SG333,Mechanical Engineering,208,341.0,208
397,22,SG334,Mechatronics,292,384.0,292
398,23,SG336,Precision Engineering and Design,320,395.0,320
399,24,SG337,Electronic and Computer Engineering,261,320.0,261
400,25,SG338,Civil Engineering,196,329.0,196
401,26,SG339,Quantity Surveying,188,346.0,188
402,27,SG401,Science,122,294.0,122
403,28,SG403,Applied Archaeology,214,246.0,214
404,29,SG431,Pharmaceutical Science with Drug Development,268,339.0,268
405,30,SG432,Environmental Protection,234,376.0,234
406,31,SG433,Occupational Safety and Health,226,316.0,226
407,32,SG434,Human Nutrition,297,440.0,297
408,33,SG435,Health Science and Physiology,298,414.0,298
409,34,SG436,Biomedical Science,261,409.0,261
410,35,SG437,Forensic Investigation and Analysis,240,340.0,240
411,36,SG438,Applied Archaeology,225,345.0,225
412,37,SG535,Business Administration,236,290.0,236
413,38,SG536,Business,188,331.0,188
414,39,SG537,Marketing and Sales,140,272.0,140
415,40,SG539,Digital Marketing,182,339.0,182
416,43,TL605,Business Information Management,225,337.0,225
417,44,TL620,Culinary Arts,101,205.0,101
418,45,TL621,Hotel Operations,100,214.0,100
419,46,TL622,Travel and Tourism Studies,254,280.0,254
420,47,TL651,Science (Biological and Environmental Studies),232,369.0,232
421,48,TL652,Pharmacy Technician,258,389.0,258
422,49,TL710,Computing with Software Development,204,288.0,204
423,50,TL711,Computing with Games Development,205,294.0,205
424,51,TL712,Computing with Media Development,278,350.0,278
425,52,TL715,Computing (Degree Award options),213,281.0,213
426,53,TL716,Computer Systems and Networking,,,
427,54,TL719,Culinary Arts,273,339.0,273
428,1,TL720,Travel and Tourism Management,261,359.0,261
429,2,TL731,Business (Major Specialism in: Accounting or Marketing or Management),212,346.0,212
430,3,TL744,Agricultural Engineering,251,317.0,251
431,4,TL745,Civil and Environmental Engineering,280,379.0,280
432,5,TL747,Engineering in Manufacturing and Mechatronics Engineering,221,341.0,221
433,6,TL748,Agricultural Science,260,380.0,260
434,7,TL755,Pharmaceutical Science,244,414.0,244
435,8,TL758,Animal Bioscience,260,377.0,260
436,9,TL771,Health and Leisure (Degree Award options),204,362.0,204
437,10,TL772,Health and Leisure with Massage,219,347.0,219
438,11,TL780,Early Childhood Care and Education,206,316.0,206
439,12,TL781,Social Care,208,307.0,208
440,15,WD003,Business,186,346.0,186
441,16,WD010,Electronic Engineering,193,242.0,193
442,17,WD011,Mechanical Engineering,211,289.0,211
443,18,WD013,Legal Studies,171,338.0,171
444,19,WD018,Applied Social Studies in Social Care,188,291.0,188
445,20,WD019,Recreation and Sport Management,180,302.0,180
446,21,WD040,Building Services Engineering,223,318.0,223
447,22,WD076,Forestry,215,366.0,215
448,23,WD094,Architectural Technology,200,339.0,200
449,24,WD096,Horticulture (Waterford - Kildalton),206,327.0,206
450,25,WD097,Horticulture (Dublin - National Botanic Gardens),240,429.0,240
451,26,WD126,Agriculture,367,420.0,367
452,27,WD139,Civil Engineering,194,319.0,194
453,28,WD151,Software Systems Development,195,320.0,195
454,29,WD153,Multimedia Applications Development,186,318.0,186
455,30,WD155,Information Technology,182,299.0,182
456,31,WD159,Business,206,360.0,206
457,32,WD164,Food Science with Business,216,403.0,216
458,33,WD172,Culinary Arts,161,308.0,161
459,34,WD173,Hospitality Studies,171,278.0,171
460,35,WD174,Tourism,AQA,233.0,AQA
461,36,WD175,Pharmaceutical Science,206,356.0,206
462,37,WD177,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",283,409.0,283
463,38,WD182,Electrical Engineering,189,280.0,189
464,39,WD184,Retail Management,180,307.0,180
465,40,WD188,Applied Health Care,242,347.0,242
466,41,WD205,Molecular Biology with Biopharmaceutical Science,217,398.0,217
467,42,WD206,Electronic Engineering,175,330.0,175
468,43,WD207,Mechanical Engineering,182,362.0,182
469,44,WD208,Manufacturing Engineering,180,298.0,180
470,45,WD209,Building Services Engineering,220,379.0,220
