,index,Course Code,Course Title,EOS,Mid,EOS_Points,Mid_Points
357,8,LC423,Sports Strength and Conditioning (Thurles),169,299.0,169,
358,9,LC425,Environmental and Geographic Sciences (Thurles),201,358.0,201,
359,10,LC428,Environmental Management in Agriculture (Thurles),226,326.0,226,
360,11,LC432,Early Childhood Education & Care (Thurles),163,337.0,163,
361,12,LC504,Creative Media and Design (Clonmel),126,360.0,126,
362,13,LC602,Social Care Work (Ennis),222,327.0,222,
363,14,LC603,Early Childhood Education & Care (Ennis),126,327.0,126,
364,16,LM180,Equine Science,338,413.0,338,
365,18,SG101,Business,AQA,338.0,,
366,19,SG102,Computing (Level 6 - General Entry),190,318.0,190,
367,20,SG105,Business in Office Administration,AQA,215.0,,
368,21,SG108,Business in Accounting,213,307.0,213,
369,22,SG131,Computing - Games Development,168,260.0,168,
370,23,SG134,Applied Sport with Business,AQA,236.0,,
371,24,SG135,Business in Tourism with Event Management,187,282.0,187,
372,25,SG136,Computing - Software Development,207,295.0,207,
373,26,SG137,Computing (Computer Networks and Cloud Infrastructure),244,290.0,244,
374,27,SG138,Computing (Level 7 - General Entry),271,357.0,271,
375,28,SG231,Fine Art,#248,454.0,248,
376,29,SG232,Creative Design,207,338.0,207,
377,30,SG235,Performing Arts (Theatre Design),216,431.0,216,
378,31,SG236,Performing Arts (Acting),225,335.0,225,
379,32,SG300,Engineering Undenominated,177,270.0,177,
380,33,SG301,Civil Engineering,190,270.0,190,
381,34,SG302,Construction Economics,161,190.0,161,
382,35,SG303,Mechanical Engineering,AQA,318.0,,
383,36,SG305,Electronic and Computer Engineering,179,267.0,179,
384,37,SG306,Mechatronics,260,260.0,260,
385,38,SG308,Applied Construction Technology,328,336.0,328,
386,39,SG330,Engineering Undenominated,233,404.0,233,
387,40,SG331,Interior Architecture and Design,213,347.0,213,
388,41,SG332,Advanced Wood and Sustainable Building Technology,180,289.0,180,
389,42,SG333,Mechanical Engineering,216,309.0,216,
390,43,SG334,Mechatronics,288,382.0,288,
391,44,SG336,Precision Engineering and Design,263,404.0,263,
392,45,SG337,Electronic and Computer Engineering,255,456.0,255,
393,46,SG338,Civil Engineering,226,345.0,226,
394,47,SG339,Quantity Surveying,188,300.0,188,
395,48,SG401,Science,175,339.0,175,
396,49,SG403,Applied Archaeology,297,328.0,297,
397,50,SG406,Health and Exercise Science,397,456.0,397,
398,51,SG431,Pharmaceutical Science with Drug Development,262,378.0,262,
399,52,SG432,Environmental Protection,279,362.0,279,
400,53,SG433,Occupational Safety and Health,224,339.0,224,
401,54,SG434,Human Nutrition,288,409.0,288,
402,0,SG435,Health Science and Physiology,288,413.0,288,
403,1,SG436,Biomedical Science,268,444.0,268,
404,2,SG437,Forensic Investigation and Analysis,237,348.0,237,
405,3,SG438,Applied Archaeology,279,333.0,279,
406,4,SG535,Business Administration,186,291.0,186,
407,5,SG536,Business,183,338.0,183,
408,6,SG537,Marketing and Sales,121,270.0,121,
409,8,TL620,Culinary Arts,128,234.0,128,
410,9,TL651,Science (Biological and Environmental Studies),207,357.0,207,
411,10,TL652,Pharmacy Technician,250,367.0,250,
412,11,TL710,Computing with Software Development,209,327.0,209,
413,12,TL711,Computing with Games Development,202,321.0,202,
414,13,TL712,Computing with Digital Media,243,352.0,243,
415,14,TL715,Computing (Degree Award options),214,377.0,214,
416,15,TL716,Computer Systems and Networking,309,309.0,309,
417,16,TL719,Culinary Arts,321,368.0,321,
418,17,TL731,Business (Major Specialism in: Acctng or Mktg or Mgmnt),207,373.0,207,
419,18,TL742,Construction Management,,,,
420,19,TL744,Agricultural Engineering,228,324.0,228,
421,20,TL745,Civil and Environmental Engineering,208,364.0,208,
422,21,TL746,Engineering in Mechatronics Engineering,,,,
423,22,TL747,Engineering in Mechanical and Manufacturing Engineering,,,,
424,23,TL748,Agricultural Science,271,397.0,271,
425,24,TL755,Pharmaceutical Science (Degree Award options),259,399.0,259,
426,25,TL758,Animal Bioscience,250,356.0,250,
427,26,TL771,Health and Leisure (Degree Award Options),215,387.0,215,
428,27,TL772,Health and Leisure with Massage,216,405.0,216,
429,28,TL773,Coaching and Sports Performance,120,329.0,120,
430,29,TL780,Early Childhood Care and Education,201,360.0,201,
431,30,TL781,Social Care,215,318.0,215,
432,32,WD003,Business,136,292.0,136,
433,33,WD010,Electronic Engineering,224,378.0,224,
434,34,WD011,Mechanical Engineering,200,301.0,200,
435,35,WD013,Legal Studies,170,307.0,170,
436,36,WD018,Applied Social Care,180,297.0,180,
437,37,WD019,Recreation and Sport Management,181,282.0,181,
438,38,WD076,Forestry,181,331.0,181,
439,39,WD094,Architectural Technology,201,350.0,201,
440,40,WD096,Horticulture (Waterford - Kildalton),260,371.0,260,
441,41,WD097,Horticulture (Dublin - National Botanic Gardens),209,356.0,209,
442,42,WD126,Agriculture,356,424.0,356,
443,43,WD139,Civil Engineering,200,364.0,200,
444,44,WD151,Software Systems Development,180,344.0,180,
445,45,WD153,Multimedia Applications Development,170,309.0,170,
446,46,WD155,Information Technology,121,280.0,121,
447,47,WD159,Business,200,357.0,200,
448,48,WD164,Food Science with Business,222,382.0,222,
449,49,WD172,Culinary Arts,142,269.0,142,
450,50,WD173,Hospitality Studies,182,278.0,182,
451,51,WD174,Tourism,134,282.0,134,
452,52,WD175,Pharmaceutical Science,207,367.0,207,
453,53,WD177,"Science (Mol. Biology with Biopharm.,Food Science with Business,Phar",.) 213,413.0,213,
454,54,WD182,Electrical Engineering,188,315.0,188,
455,0,WD184,Retail Management,190,298,190,
456,1,WD188,Applied Health Care,206,339,206,
457,2,WD205,Molecular Biology with Biopharmaceutical Science,208,441,208,
458,3,WD206,Electronic Engineering,191,322,191,
459,4,WD207,Mechanical Engineering,179,330,179,
460,5,WD208,Manufacturing Engineering,195,330,195,
