,index,Course Code,INSTITUTION and COURSE,EOS,Mid
50,9,CW507,Aircraft Systems,285,358.0
51,10,CW517,Mechanical Engineering,252,336.0
52,11,CW527,Electronic Engineering,225,338.0
53,12,CW547,TV and Media Production,306,370.0
54,13,CW706,Legal Studies,196,331.0
55,14,CW707,Industrial Design,199,313.0
56,15,CW717,Applied Social Studies - Professional Social Care,260,308.0
57,16,CW807,Sport Coaching and Business Management - GAA (portfolio),#700,700.0
58,17,CW817,Sport Coaching and Business Management - Rugby (portfolio),#700,700.0
59,18,CW827,Sport Coaching and Business Management - Soccer (portfolio),#700,700.0
60,19,CW837,Digital Marketing with Analytics,240,308.0
61,20,CW906,Business,173,288.0
62,21,CW917,Business (options),200,317.0
63,22,CW926,Business with Law,204,368.0
64,23,CW927,Business Administration,205,367.0
65,24,CW936,Accounting,204,414.0
66,26,PC402,Arts and Humanities,126,328.0
67,27,PC404,Applied Social Studies - Professional Social Care,AQA,245.0
68,29,CR001,Applied Physics and Instrumentation,258,488.0
69,30,CR006,Applied Biosciences,380,467.0
70,31,CR007,Analytical and Pharmaceutical Chemistry,246,455.0
71,32,CR010,Agriculture (Year 1 - 4 days in Clonakilty Agri College & 1 day in CIT),270,368.0
72,33,CR016,Software Development,270,393.0
73,34,CR021,Business (Common Entry),250,397.0
74,35,CR022,Business Administration,206,262.0
75,36,CR031,Social Care,326,389.0
76,37,CR032,Recreation and Leisure Management,250,349.0
77,38,CR035,Community Development,162,271.0
78,39,CR041,Tourism Management,180,318.0
79,40,CR042,Hospitality Management,101,307.0
80,41,CR046,Automotive Technology and Management,214,263.0
81,42,CR051,Civil Engineering,244,403.0
82,43,CR052,Construction,232,311.0
83,44,CR053,Interior Architecture,253,367.0
84,45,CR055,Environmental Engineering,255,424.0
85,46,CR061,Electronic Engineering,308,520.0
86,47,CR062,Electrical Engineering,279,356.0
87,48,CR071,Mechanical Engineering,250,410.0
88,49,CR075,Biomedical Engineering,350,490.0
89,50,CR090,Architectural Technology,251,419.0
90,51,CR094,Nautical Science at National Maritime College of Ireland,237,377.0
91,52,CR095,Marine Engineering at National Maritime College of Ireland,224,339.0
92,53,CR300,Physical Sciences (Common Entry),270,509.0
93,54,CR620,Early Childhood Education and Care,337,419.0
94,0,CR640,Culinary Arts,125,309.0
95,1,CR650,Beverage Industry Management,182,300.0
96,2,CR655,Culinary Studies,116,281.0
97,3,CR657,Hospitality Studies,162,236.0
98,4,CR805,Marine Electrotechnology at National Maritime College of Ireland,217,328.0
99,5,CR888,Information Technology,271,356.0
100,7,CT110,Computing in Information Technology,171,413.0
101,8,CT116,Information Technology,178,365.0
102,9,CT316,Business,180,269.0
103,11,DS602,Computing and Multimedia,225,233.0
104,12,DS603,Computing and Multimedia,341,370.0
105,13,DS701,Business,AQA,
106,14,DS702,Computing and Multimedia,102,365.0
107,16,DB513,Business,117,280.0
108,17,DB522,Business in Accounting,112,454.0
109,18,DB528,Applied Social Care,AQA,307.0
110,19,DB533,Business in Marketing,112,223.0
111,20,DB534,Sound Engineering and Music Production,179,309.0
112,21,DB563,Arts,128,318.0
113,22,DB571,Business Studies,134,371.0
114,23,DB572,Business in Accounting,AQA,403.0
115,24,DB573,Business in Marketing,127,291.0
116,25,DB574,Business in Information Technology,AQA,367.0
117,26,DB575,Social Studies,120,346.0
