,index,Course Code,Course Title,EOS,Mid,EOS_Points,Mid_Points
1,2,AL801,Software Design with Virtual Reality and Gaming,304,328,304,328.0
2,3,AL802,Software Design with Cloud Computing,301,306,301,306.0
3,4,AL803,Software Design with Mobile Apps and Connected Devices,309,337,309,337.0
4,5,AL805,Network Management and Cloud Infrastructure,329,442,329,442.0
5,6,AL810,Quantity Surveying,307,349,307,349.0
6,7,AL820,Mechanical and Polymer Engineering,300,358,300,358.0
7,8,AL830,General Nursing,410,429,410,429.0
8,9,AL832,Psychiatric Nursing,387,403,387,403.0
9,10,AL836,Nutrition and Health Science,352,383,352,383.0
10,11,AL837,Sports Science with Exercise Physiology,351,392,351,392.0
11,12,AL838,Biotechnology,302,372,302,372.0
12,13,AL839,Microbiology,322,371,322,371.0
13,14,AL840,Pharmaceutical Sciences,328,411,328,411.0
14,15,AL841,Athletic and Rehabilitation Therapy,423,430,423,430.0
15,16,AL842,Bioveterinary Science,310,366,310,366.0
16,17,AL843,Physical Activity and Health Science,310,330,310,330.0
17,18,AL850,Business,307,356,307,356.0
18,19,AL851,Business and Law,301,341,301,341.0
19,20,AL852,Accounting (with optional placement),290,346,290,346.0
20,21,AL853,Accounting and Law,305,320,305,320.0
21,22,AL855,Hospitality Management (with International placement),312,357,312,357.0
22,23,AL857,Digital Marketing,300,360,300,360.0
23,24,AL860,Social Care Practice,309,338,309,338.0
24,25,AL861,Animation and Illustration (portfolio),#615,899,615,899.0
25,26,AL863,Graphic and Digital Design (portfolio),#703,898,703,898.0
26,27,AL864,Early Years Care and Education,307,348,307,348.0
27,28,AL870,Applied Psychology,409,445,409,445.0
29,30,CW018,"Business (options, Wexford)",327,349,327,349.0
30,31,CW028,Early Childhood Education and Care (Wexford),252,308,252,308.0
31,32,CW038,"Art (portfolio, Wexford)",#700,700,700,700.0
32,33,CW058,Tourism and Event Management (Wexford),252,262,252,262.0
33,34,CW068,Applied Social Studies - Professional Social Care (Wexford),251,280,251,280.0
34,35,CW078,Sustainable Farm Management and Agribusiness (Wexford),266,320,266,320.0
35,36,CW088,Visual Communications and Design (Wexford),309,345,309,345.0
36,37,CW108,Science (options),261,326,261,326.0
37,38,CW128,Brewing and Distilling,271,298,271,298.0
38,39,CW178,Sport Science (options),399,424,399,424.0
39,40,CW188,Sport Rehabilitation and Athletic Therapy,454,473,454,473.0
40,41,CW208,Computer Games Development,281,338,281,338.0
41,42,CW238,Software Development,300,343,300,343.0
42,43,CW248,Information Technology Management,307,357,307,357.0
43,0,CW258,Cybercrime and IT Security,300,328.0,300,
44,1,CW268,Computing in Interactive Digital Art and Design,274,321.0,274,
45,2,CW438,Construction (options),271,308.0,271,
46,3,CW468,Architectural Technology,252,290.0,252,
47,4,CW478,Civil Engineering,348,383.0,348,
48,5,CW548,Mechanical Engineering,310,351.0,310,
49,6,CW558,Electronic Systems,279,338.0,279,
50,7,CW568,Aerospace Engineering,366,422.0,366,
51,8,CW578,TV and Media Production,327,361.0,327,
52,9,CW708,Law - LLB,298,328.0,298,
53,10,CW728,Product Design Innovation,286,355.0,286,
54,11,CW748,Early Childhood Education and Care,265,338.0,265,
55,12,CW758,Applied Social Studies - Professional Social Care,290,319.0,290,
56,13,CW808,Media and Public Relations,248,307.0,248,
57,14,CW848,Digital Marketing with Analytics,279,307.0,279,
58,15,CW858,"Sports Management and Coaching (options, portfolio)",#700,700.0,700,
59,16,CW908,Business (options),260,307.0,260,
60,17,CW938,Business with Law,270,288.0,270,
61,18,CW948,Accounting,301,408.0,301,
63,20,PC405,"Social, Political and Community Studies",251,296.0,251,
64,21,PC410,Arts and Humanities (fulfils Teaching Council requirements),203,289.0,203,
65,22,PC411,English and History (fulfils Teaching Council requirements),168,289.0,168,
67,24,CR105,Chemical and Biopharmaceutical Engineering,432,498.0,432,
68,25,CR106,Software Development,351,393.0,351,
69,26,CR108,Mechanical Engineering,425,487.0,425,
70,27,CR109,Structural Engineering,341,467.0,341,
71,28,CR110,Automotive Business Management and Technology,318,347.0,318,
72,29,CR112,Creative Digital Media,335,389.0,335,
73,30,CR116,Computer Systems,318,381.0,318,
74,31,CR121,Music at CIT Cork School of Music,#633,1052.0,633,
75,32,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,#972,1021.0,972,
76,33,CR126,Popular Music: Drums at CIT Cork School of Music,#878,1043.0,878,
77,34,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,#584,761.0,584,
78,35,CR128,Popular Music: Keyboards at CIT Cork School of Music,#839,1009.0,839,
79,36,CR129,Popular Music: Voice at CIT Cork School of Music,#857,927.0,857,
80,37,CR130,Musical Theatre,#500,600.0,500,
81,38,CR150,Business Information Systems,326,371.0,326,
82,39,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#979,979.0,979,
83,40,CR220,Fine Art at CIT Crawford College of Art and Design,#620,819.0,620,
84,41,CR225,Photography with New Media,#920,920.0,920,
85,42,CR305,Physical Sciences (Common Entry),279,309.0,279,
86,43,CR310,IT Management,282,317.0,282,
87,44,CR320,Biomedical Science (Offered jointly by CIT and UCC),546,556.0,546,
88,45,CR325,Pharmaceutical Biotechnology,388,422.0,388,
89,46,CR333,Nutrition and Health Science,360,393.0,360,
90,47,CR335,Biological Sciences (Common Entry),381,419.0,381,
91,48,CR340,Analytical Chemistry with Quality Assurance,288,315.0,288,
92,49,CR360,Instrument Engineering,291,329.0,291,
93,50,CR365,Environmental Science and Sustainable Technology,334,362.0,334,
94,51,CR370,Agri-Biosciences,408,431.0,408,
95,52,CR400,Accounting,316,389.0,316,
96,53,CR420,Marketing,288,329.0,288,
97,54,CR425,International Business with Language,300,392.0,300,
98,0,CR500,Engineering (Common Entry),381,424.0,381,
99,1,CR510,Sustainable Energy Engineering,319,343.0,319,
100,2,CR520,Biomedical Engineering,434,477.0,434,
101,3,CR560,Architectural Technology,288,332.0,288,
102,4,CR565,Interior Architecture,336,390.0,336,
103,5,CR570,Quantity Surveying,279,342.0,279,
104,6,CR572,Construction Management,253,300.0,253,
105,7,CR580,Electrical Engineering,344,374.0,344,
