,index,Course Code,Course Title,EOS,Mid,EOS_Points,Mid_Points
442,443,NC003,Computing (Degree Award options),261,316,261,316
443,444,NC005,Human Resource Management,297,320,297,320
444,445,NC009,Business,297,339,297,339
445,446,NC010,Psychology,366,399,366,399
446,447,NC020,Marketing Practice,270,307,270,307
447,448,NC022,Accounting and Finance,338,376,338,376
448,449,NC023,Technology Management (with specialisations),260,303,260,303
449,450,NC025,Data Science,297,371,297,371
451,452,RC001,Medicine - Undergraduate Entry (HPAT required),#729,733,#729,733
452,453,RC004,Physiotherapy,532*,542,532*,542
453,454,RC005,Pharmacy,555,566,555,566
454,455,RC101,Medicine - Graduate Entry (GAMSAT required),#60,62,#60,62
456,457,TR002,Music,#414,473,#414,473
457,458,TR003,History,486,518,486,518
458,459,TR004,Law,532,552,532,552
459,460,TR005,Philosophy,391,446,391,446
460,461,TR006,Psychology,555*,577,555*,577
461,462,TR007,Clinical Speech and Language Studies,499,529,499,529
462,463,TR009,Music Education,#430,465,#430,465
463,464,TR012,History and Political Science,532*,557,532*,557
464,465,TR015,"Philosophy, Political Science, Economics and Sociology",566,577,566,577
465,466,TR016,Deaf Studies,337,372,337,372
466,467,TR017,Law and Business,576,589,576,589
467,468,TR018,Law and French,532*,554,532*,554
468,469,TR019,Law and German,523,555,523,555
469,470,TR020,Law and Political Science,567,600,567,600
470,471,TR021,"Classics, Ancient History and Archaeology",377,495,377,495
471,472,TR022,Early and Modern Irish,347,407,347,407
472,473,TR023,English Studies,463,511,463,511
473,474,TR024,European Studies,520,544,520,544
474,475,TR025,Drama and Theatre Studies,#489,531,#489,531
475,476,TR028,Ancient and Medieval History and Culture,339,451,339,451
476,477,TR029,Political Science and Geography,477,500,477,500
477,478,TR031,Mathematics,566,589,566,589
478,479,TR032,Engineering,487*,520,487*,520
479,480,TR033,Computer Science,465*,488,465*,488
480,481,TR034,Management Science and Information Systems Studies,589*,602,589*,602
481,482,TR035,Theoretical Physics,554,601,554,601
482,483,TR038,Engineering with Management,499,543,499,543
483,484,TR039,Computer Science and Language,435,498,435,498
484,485,TR040,Middle Eastern and European Languages and Cultures,485,518,485,518
485,486,TR041,Religion,347,393,347,393
486,487,TR051,Medicine (HPAT required),#730,739,#730,739
487,488,TR052,Dental Science,590*,602,590*,602
488,489,TR053,Physiotherapy,533*,544,533*,544
489,490,TR054,Occupational Therapy,500,520,500,520
490,491,TR055,Radiation Therapy,510,521,510,521
491,492,TR056,Human Health and Disease,543,565,543,565
492,493,TR060,Biological and Biomedical Sciences,510*,542,510*,542
493,494,TR061,Chemical Sciences,488*,520,488*,520
494,495,TR062,Geography and Geoscience,435,485,435,485
495,496,TR063,Physical Sciences,498*,543,498*,543
496,497,TR072,Pharmacy,555*,577,555*,577
497,498,TR080,Global Business,565,577,565,577
498,499,TR081,"Business, Economic and Social Studies (BESS)",518*,542,518*,542
499,500,TR082,Computer Science and Business,510,542,510,542
500,501,TR083,Sociology and Social Policy,451,474,451,474
501,502,TR084,Social Studies (Social Work),420*,462,420*,462
502,503,TR085,Business Studies and French,509,553,509,553
503,504,TR086,Business Studies and German,474,495,474,495
504,505,TR087,Business Studies and Russian,467,487,467,487
505,506,TR089,Business Studies and Polish,393,434,393,434
506,507,TR090,Business Studies and Spanish,510,543,510,543
507,508,TR091,General Nursing (Meath and St James`s),393*,420,393*,420
508,509,TR093,General Nursing (Adelaide School of Nursing),#378*,409,#378*,409
509,510,TR095,Mental Health Nursing,358,377,358,377
510,511,TR097,Intellectual Disability Nursing,346,350,346,350
511,512,TR911,Children`s and General Nursing (Integrated),476*,487,476*,487
512,513,TR913,Midwifery,423,462,423,462
514,515,DN100,Architecture,473,509,473,509
515,516,DN120,Landscape Architecture,353,403,353,403
516,517,DN130,City Planning and Environmental Policy,367,421,367,421
517,518,DN150,Engineering (Common Entry),511,554,511,554
518,519,DN200,Science (options),521,554,521,554
519,520,DN201,Computer Science (Common Entry),488,509,488,509
520,521,DN230,Actuarial and Financial Studies,577,589,577,589
