,index,Course Code,Course Title,EOS,Mid,EOS_Points
184,31,CM020,Early Childhood Education,336,,336
186,33,DB500,Computing,242,,242
187,34,DB501,Computing (Cloud Computing),326,,326
188,35,DB502,Computing (Data Analytics and Big Data),269,,269
189,36,DB503,Computing (Software Development),242,,242
190,37,DB504,Computing (Web and Mobile Technology),227,,227
191,38,DB510,Audio Production and Music Project Management,233,,233
192,39,DB512,Business Studies,229,,229
193,40,DB514,Business Studies (Law),269,,269
194,41,DB515,Business Studies (Human Resource Management),225,,225
195,42,DB516,Financial Services,328,,328
196,43,DB517,Event Management,226,,226
197,44,DB518,Marketing (Digital Media),210,,210
198,45,DB521,Accounting and Finance,225,,225
199,46,DB524,Business Information Systems,402,,402
200,47,DB525,Marketing (Digital Media and Cloud Computing),284,,284
201,48,DB526,Business Information Systems (Cloud Computing),253,,253
202,49,DB527,Applied Social Care,235,,235
203,50,DB531,Marketing,220,,220
204,51,DB562,Psychology,208,,208
205,52,DB566,Social Science,216,,216
206,53,DB567,Film,192,,192
207,54,DB568,Law,245,,245
208,0,DB569,Business (Psychology),279,,279
210,2,DC001,Education - Early Childhood Education,398,,398
211,3,DC002,Education - Primary Teaching,462*,,462
212,4,DC003,Education - Primary Teaching - Gaeltacht Applicants,#433,,433
213,5,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),#357,,357
214,6,DC005,Education - Primary Teaching - Irish Sign Language,#316,,316
215,7,DC009,Arts (Joint Honours) - Humanities,347,,347
216,8,DC010,Post Primary Teacher Education - Religious Education and English,386,,386
217,9,DC011,Post Primary Teacher Education - Religious Education and History,352,,352
218,10,DC012,Post Primary Teacher Education - Religious Education and Music,#367,,367
219,11,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410,,410
220,12,DC014,BA in Jazz and Contemporary Music Performance,#428,,428
221,13,DC110,Business Studies International,440,,440
222,14,DC111,Business Studies,463,,463
223,15,DC112,Global Business (France),495,,495
224,16,DC113,Global Business (Germany),440,,440
225,17,DC114,Global Business (Spain),501,,501
226,18,DC115,Accounting and Finance,487,,487
227,19,DC116,Global Business (USA),578,,578
228,20,DC117,Aviation Management / Aviation Management with Pilot Studies,463,,463
229,21,DC118,Gnó agus Gaeilge / Business and Irish,357,,357
230,22,DC119,Global Business (Canada),566,,566
231,23,DC120,Enterprise Computing,350,,350
232,24,DC121,Computer Applications,370,,370
233,25,DC123,Data Science,467,,467
234,26,DC126,Actuarial Mathematics,520,,520
235,27,DC127,Common Entry into Actuarial and Financial Mathematics,509,,509
236,28,DC131,Communication Studies,400,,400
237,29,DC132,Journalism,401,,401
238,30,DC133,Multimedia,403,,403
239,31,DC155,Applied Language and Translation Studies,371,,371
240,32,DC161,Analytical Science,446,,446
241,33,DC162,Chemical and Pharmaceutical Sciences,488,,488
242,34,DC166,Environmental Science and Technology,412,,412
243,35,DC167,Physics with Astronomy,434,,434
244,36,DC168,Genetics and Cell Biology,489,,489
245,37,DC171,Applied Physics,402,,402
246,38,DC173,Physics with Biomedical Sciences,402,,402
247,39,DC181,Biotechnology,476,,476
248,40,DC190,Electronic and Computer Engineering (with choice of four majors),391,,391
249,41,DC193,Mechatronic Engineering,404,,404
250,42,DC195,Mechanical and Manufacturing Engineering,401,,401
251,43,DC197,Biomedical Engineering,402,,402
252,44,DC200,Common Entry into Engineering (Undenominated Entry),381,,381
253,45,DC201,Common Entry into Science (Undenominated Entry),454,,454
254,46,DC202,Sport Science and Health,467,,467
255,47,DC203,Science Education,424,,424
256,48,DC204,Athletic Therapy and Training,484,,484
257,49,DC205,Physical Education with Biology,490,,490
258,50,DC206,Physical Education with Mathematics,443,,443
259,51,DC208,Psychology,509,,509
260,52,DC209,Health and Society,419,,419
261,53,DC215,General Nursing,414,,414
262,54,DC216,Mental Health Nursing,368,,368
263,0,DC217,Intellectual Disability Nursing,347,,347
264,1,DC218,Children`s and General Nursing (Integrated),467,,467
265,2,DC230,"Economics, Politics and Law",400,,400
266,3,DC231,International Relations,387,,387
267,4,DC232,Law and Society (BCL),453,,453
268,5,DC235,Education and Training - Daytime Delivery Mode (full-time),307,,307
269,6,DC238,Social Sciences and Cultural Innovation,358,,358
270,7,DC240,"Marketing, Innovation and Technology",451,,451
271,8,DC291,Arts (Joint Honours) - Media Studies,349,,349
272,9,DC292,Arts (Joint Honours) - Law,356,,356
273,10,DC293,Arts (Joint Honours) - International Languages,369,,369
274,11,DC295,Arts (Joint Honours) - Politics,348,,348
276,13,DT001,Product Design,433,,433
277,14,DT028,Transport Operations and Technology,279,,279
278,15,DT035,Electrical Services and Energy Management,293,,293
279,16,DT066,Engineering (General Entry),400,,400
280,17,DT101,Architecture (test and interview),#618,,618
281,18,DT106,Planning and Environmental Management,312,,312
282,19,DT110,Property Economics (Valuation Surveying),367,,367
283,20,DT111,Quantity Surveying and Construction Economics,391,,391
284,21,DT112,Geographic Science,287,,287
285,22,DT117,Construction Management,356,,356
286,23,DT175,Architectural Technology,388,,388
287,24,DT201,Science (General Entry),464,,464
288,25,DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,,341
289,26,DT204,Biomedical Science,501,,501
290,27,DT205,Mathematical Sciences,315,,315
291,28,DT206,Biomedical and Molecular Diagnostics,473,,473
292,29,DT211,Computer Science (Infrastructure),381,,381
293,30,DT220,Industrial Mathematics,300,,300
294,31,DT221,Physics with Energy and Environment,348,,348
295,32,DT222,Physics Technology,321,,321
296,33,DT223,Human Nutrition and Dietetics,553,,553
297,34,DT224,Optometry,487,,487
298,35,DT225,Public Health Nutrition,440,,440
299,36,DT227,Science with Nanotechnology,312,,312
300,37,DT228,Computer Science,451,,451
301,38,DT229,Clinical Measurement Science,491,,491
302,39,DT235,Physics with Medical Physics and Bioengineering,357,,357
303,40,DT282,Computer Science (International),377,,377
304,41,DT299,Chemical Sciences with Medicinal Chemistry,420,,420
305,42,DT302,Business Analytics,325,,325
306,43,DT304,E-Commerce in Retailing,341,,341
307,44,DT321,Business and Law,462,,462
308,45,DT341,Marketing,400,,400
309,46,DT343,Retail and Services Management,301,,301
310,47,DT354,Business Computing,322,,322
311,48,DT358,Logistics and Supply Chain Management,300,,300
312,49,DT365,Business and Management,440,,440
313,50,DT366,Accounting and Finance,432,,432
314,51,DT398,Human Resource Management,375,,375
315,52,DT399,Economics and Finance,437,,437
316,53,DT401,International Hospitality Management,300,,300
317,54,DT405,Culinary Science,308,,308
318,0,DT407,Culinary Arts,271,,271
319,1,DT412,Tourism Marketing,284,,284
320,2,DT413,Event Management,356,,356
321,3,DT416,Culinary Entrepreneurship,275,,275
322,4,DT420,Nutraceuticals in Health and Nutrition,392,,392
323,5,DT421,Food Innovation,321,,321
324,6,DT422,Pharmaceutical Healthcare,397,,397
325,7,DT491,Environmental Health,343,,343
326,8,DT501,Music,#383,,383
327,9,DT504,Film and Broadcasting,443,,443
328,10,DT506,Commercial Modern Music,#468,,468
329,11,DT508,Game Design,403,,403
330,12,DT517,Languages and English Studies,326,,326
331,13,DT518,Languages and International Tourism,307,,307
332,14,DT529,Drama (Performance),#371,,371
333,15,DT532,Law (LL.B.),422,,422
334,16,DT533,Contemporary Visual Culture,#,,
335,17,DT544,Interior Design,#552,,552
336,18,DT545,Design - Visual Communication,#667,,667
337,19,DT546,Fine Art,#668,,668
338,20,DT555,International Business and Languages,353,,353
339,21,DT559,Photography,#700,,700
340,22,DT571,Social Care,394,,394
341,23,DT572,Early Childhood Education,385,,385
342,24,DT582,Journalism,347,,347
343,25,DT596,Print Media Technology and Management,252,,252
344,26,DT597,Creative and Cultural Industries,280,,280
346,28,DL821,"English, Media and Cultural Studies",211,,211
347,29,DL822,Arts Management,209,,209
348,30,DL823,Business Studies - Entrepreneurship and Management,260,,260
349,31,DL825,Applied Psychology,349,,349
350,32,DL826,Visual Communication Design,#736,,736
351,33,DL827,Art,#583,,583
352,34,DL828,"3D Design, Modelmaking and Digital Art",#691,,691
353,35,DL829,Design for Stage and Screen (Costume Design),#817,,817
354,36,DL830,Design for Stage and Screen (Makeup Design),#879,,879
355,37,DL831,Design for Stage and Screen (Production Design),#893,,893
356,38,DL832,Animation,#855,,855
357,39,DL833,Photography,#636,,636
358,40,DL834,Film and Television Production,#933,,933
359,41,DL835,Creative Media Technologies,237,,237
360,42,DL836,Creative Computing,217,,217
361,43,DL837,New Media Studies,290,,290
362,44,DL838,Creative Music Production,#746,,746
364,46,GC200,Business Studies (Cork),269,,269
365,47,GC201,Accounting and Finance (Cork),251,,251
366,48,GC230,Computing Science (Cork),228,,228
367,49,GC300,Business Studies (Limerick),251,,251
368,50,GC301,Accounting and Finance,307,,307
369,51,GC302,"Business Studies - (HRM, Limerick)",269,,269
370,52,GC305,International Hospitality Management (Limerick),327,,327
371,53,GC400,Business Studies (Dublin),246,,246
372,54,GC401,Accounting and Finance (Dublin),181,,181
373,0,GC402,"Business Studies (HRM, Dublin)",217,,217
374,1,GC403,Law (Dublin),225,,225
375,2,GC405,International Hospitality Management (Dublin),254,,254
376,3,GC407,"Business Studies (Marketing, Dublin)",246,,246
377,4,GC430,Computing Science (Dublin),217,,217
378,5,GC450,Journalism and Visual Media (Dublin),227,,227
379,6,GC462,Design Communication (Dublin),,,
380,7,GC489,Interior Architecture (Dublin),#267,,267
381,8,GC494,Fashion Design (Dublin),#,,
383,10,ID001,Accounting and Finance,229,,229
384,11,ID002,Business Studies,285,,285
385,12,ID003,Business Studies with Chinese,,,
387,14,BN101,Business,252,,252
388,15,BN103,Business and Information Technology,254,,254
389,16,BN104,Computing (Information Technology),260,,260
390,17,BN107,Applied Social Studies in Social Care,300,,300
391,18,BN108,Engineering (Common Entry with Award options),271,,271
392,19,BN109,Business (Common Entry with Award options),260,,260
393,20,BN110,International Business,253,,253
394,21,BN111,Sports Management and Coaching,270,,270
395,22,BN112,Creative Digital Media,280,,280
396,23,BN113,Horticulture,289,,289
397,24,BN114,Accounting and Finance,280,,280
398,25,BN115,Community and Youth Development,250,,250
399,26,BN117,Computer Engineering in Mobile Systems,273,,273
400,27,BN118,Early Childhood Care and Education,290,,290
401,28,BN119,Digital Marketing,270,,270
402,29,BN120,Digital Forensics and Cyber Security,281,,281
403,30,BN121,Mechatronic Engineering,276,,276
404,31,BN123,"Design,Technology and Innovation",297,,297
406,33,TA022,Creative Digital Media,260,,260
407,34,TA023,Advertising and Marketing Communications,235,,235
408,35,TA024,Early Childhood Care and Education,217,,217
409,36,TA025,Social Care Practice,261,,261
410,37,TA026,International Hospitality and Tourism Management,208,,208
411,38,TA027,Botanical Cuisine,236,,236
412,39,TA028,Digital Marketing Technologies,220,,220
413,40,TA121,Accounting and Finance,202,,202
414,41,TA122,Management,218,,218
415,42,TA123,Marketing Management,207,,207
416,43,TA125,International Business,229,,229
417,44,TA221,Electronic Engineering,251,,251
418,45,TA222,Mechanical Engineering,243,,243
419,46,TA223,Sustainable Energy Engineering,236,,236
420,47,TA224,Biomedical Design,218,,218
421,48,TA225,Automation Engineering,235,,235
422,49,TA226,Engineering Software,243,,243
423,50,TA321,Pharmaceutical Science,261,,261
424,51,TA322,Computing,200,,200
425,52,TA323,Computing with IT Management,243,,243
426,53,TA326,DNA and Forensic Analysis,300,,300
427,54,TA327,Sports Science and Health,341,,341
428,0,TA328,Computing with Language (French/German/Spanish),218,317,218
429,1,TA329,Computing with Data Analytics,218,296,218
431,3,AD101,First Year Art & Design (Common Entry),# +mat,550,
432,4,AD102,Graphic Design and Moving Image Design,# +mat,635,
433,5,AD103,Textile & Surface Design and Jewellery & Objects,# +mat,545,
434,6,AD202,Education & Design or Fine Art (Second Level Teaching),# +mat,580,
435,7,AD204,Fine Art,# +mat,600,
436,8,AD211,Fashion Design,# +mat,600,
437,9,AD212,Product Design,# +mat,600,
438,10,AD215,Visual Culture,300,338,300
439,11,AD217,Illustration,# +mat,625,
440,12,AD222,Interaction Design,# +mat,657,
442,14,NC003,Computing (Degree Award options),261,316,261
443,15,NC005,Human Resource Management,297,320,297
444,16,NC009,Business,297,339,297
445,17,NC010,Psychology,366,399,366
446,18,NC020,Marketing Practice,270,307,270
447,19,NC022,Accounting and Finance,338,376,338
448,20,NC023,Technology Management (with specialisations),260,303,260
449,21,NC025,Data Science,297,371,297
451,23,RC001,Medicine - Undergraduate Entry (HPAT required),#729,733,729
452,24,RC004,Physiotherapy,532*,542,532
453,25,RC005,Pharmacy,555,566,555
454,26,RC101,Medicine - Graduate Entry (GAMSAT required),#60,62,60
456,28,TR002,Music,#414,473,414
457,29,TR003,History,486,518,486
458,30,TR004,Law,532,552,532
459,31,TR005,Philosophy,391,446,391
460,32,TR006,Psychology,555*,577,555
461,33,TR007,Clinical Speech and Language Studies,499,529,499
462,34,TR009,Music Education,#430,465,430
463,35,TR012,History and Political Science,532*,557,532
464,36,TR015,"Philosophy, Political Science, Economics and Sociology",566,577,566
465,37,TR016,Deaf Studies,337,372,337
466,38,TR017,Law and Business,576,589,576
467,39,TR018,Law and French,532*,554,532
468,40,TR019,Law and German,523,555,523
469,41,TR020,Law and Political Science,567,600,567
470,42,TR021,"Classics, Ancient History and Archaeology",377,495,377
471,43,TR022,Early and Modern Irish,347,407,347
472,44,TR023,English Studies,463,511,463
473,45,TR024,European Studies,520,544,520
474,46,TR025,Drama and Theatre Studies,#489,531,489
475,47,TR028,Ancient and Medieval History and Culture,339,451,339
476,48,TR029,Political Science and Geography,477,500,477
477,49,TR031,Mathematics,566,589,566
478,50,TR032,Engineering,487*,520,487
479,51,TR033,Computer Science,465*,488,465
480,52,TR034,Management Science and Information Systems Studies,589*,602,589
481,53,TR035,Theoretical Physics,554,601,554
482,54,TR038,Engineering with Management,499,543,499
483,0,TR039,Computer Science and Language,435,,435
484,1,TR040,Middle Eastern and European Languages and Cultures,485,,485
485,2,TR041,Religion,347,,347
486,3,TR051,Medicine (HPAT required),#730,,730
487,4,TR052,Dental Science,590*,,590
488,5,TR053,Physiotherapy,533*,,533
489,6,TR054,Occupational Therapy,500,,500
490,7,TR055,Radiation Therapy,510,,510
491,8,TR056,Human Health and Disease,543,,543
492,9,TR060,Biological and Biomedical Sciences,510*,,510
493,10,TR061,Chemical Sciences,488*,,488
494,11,TR062,Geography and Geoscience,435,,435
495,12,TR063,Physical Sciences,498*,,498
496,13,TR072,Pharmacy,555*,,555
497,14,TR080,Global Business,565,,565
498,15,TR081,"Business, Economic and Social Studies (BESS)",518*,,518
499,16,TR082,Computer Science and Business,510,,510
500,17,TR083,Sociology and Social Policy,451,,451
501,18,TR084,Social Studies (Social Work),420*,,420
502,19,TR085,Business Studies and French,509,,509
503,20,TR086,Business Studies and German,474,,474
504,21,TR087,Business Studies and Russian,467,,467
505,22,TR089,Business Studies and Polish,393,,393
506,23,TR090,Business Studies and Spanish,510,,510
507,24,TR091,General Nursing (Meath and St James`s),393*,,393
508,25,TR093,General Nursing (Adelaide School of Nursing),#378*,,378
509,26,TR095,Mental Health Nursing,358,,358
510,27,TR097,Intellectual Disability Nursing,346,,346
511,28,TR911,Children`s and General Nursing (Integrated),476*,,476
512,29,TR913,Midwifery,423,,423
514,31,DN100,Architecture,473,,473
515,32,DN120,Landscape Architecture,353,,353
516,33,DN130,City Planning and Environmental Policy,367,,367
517,34,DN150,Engineering (Common Entry),511,,511
518,35,DN200,Science (options),521,,521
519,36,DN201,Computer Science (Common Entry),488,,488
520,37,DN230,Actuarial and Financial Studies,577,,577
521,38,DN250,Agricultural Science (options),420,,420
522,39,DN252,Dairy Business,398,,398
523,40,DN253,Agri - Environmental Sciences,403,,403
524,41,DN261,Food Science,434,,434
525,42,DN262,Human Nutrition,493,,493
526,43,DN271,Forestry,303,,303
527,44,DN272,"Horticulture, Landscape and Sportsturf Management",252,,252
528,45,DN300,Veterinary Medicine - Undergraduate Entry,#567,,567
529,46,DN301,Veterinary Medicine - Graduate Entry,#,,
530,47,DN310,Veterinary Nursing,441,,441
531,48,DN400,Medicine - Undergraduate Entry (HPAT required),#735,,735
532,49,DN401,Medicine - Graduate Entry (GAMSAT required),#59*,,59
533,50,DN410,Radiography,507,,507
534,51,DN411,Radiography - Graduate Entry,#,,
535,52,DN420,Physiotherapy,542,,542
536,53,DN425,Health and Performance Science,488,,488
537,54,DN430,Sport and Exercise Management,436,,436
538,0,DN440,"Biomedical, Health and Life Sciences",565*,,565
539,1,DN450,General Nursing,398,,398
540,2,DN451,Children`s and General Nursing (Integrated),462*,,462
541,3,DN452,Midwifery,409,,409
542,4,DN453,Mental Health Nursing,379,,379
543,5,DN520,Arts (Two Subjects),336,,336
544,6,DN530,Humanities (options),348,,348
545,7,DN541,Modern Languages (options),348,,348
546,8,DN600,Law (options),520*,,520
547,9,DN610,Business and Law,521,,521
548,10,DN650,Commerce,498*,,498
549,11,DN660,Commerce International (options),507,,507
550,12,DN670,Economics and Finance,601,,601
551,13,DN700,Social Sciences (options),388,,388
552,14,DN710,Economics,476,,476
553,15,DN720,Psychology,517,,517
554,16,DN750,Social Policy and Sociology,330,,330
556,18,DK810,Accounting and Finance,306,,306
557,19,DK816,Business Studies,300,,300
558,20,DK820,Computing in Games Development,307,,307
559,21,DK821,Computing in Software Development,301,,301
560,22,DK830,Building Surveying,302,,302
561,23,DK831,Architectural Technology,301,,301
562,24,DK832,Construction Management,300,,300
563,25,DK843,Engineering (Common Entry),303,,303
564,26,DK860,Music,#499,,499
565,27,DK861,Arts,300,,300
566,28,DK862,Social Care,300,,300
567,29,DK863,Creative Media,300,,300
568,30,DK864,Film and Television Production,300,,300
569,31,DK865,Audio and Music Production,301,,301
570,32,DK870,General Nursing,392,,392
571,33,DK872,Intellectual Disability Nursing,300,,300
572,34,DK874,Mental Health Nursing,356,,356
573,35,DK876,Early Childhood Studies,305,,305
574,36,DK877,Midwifery,398*,,398
575,37,DK880,Health and Physical Activity,300,,300
576,38,DK882,Agriculture (Award options),303,,303
577,39,DK883,Science (Award options),300,,300
579,41,GA181,Accounting,303,,303
580,42,GA182,Business,290,,290
581,43,GA183,Business Information Systems,309,,309
582,44,GA184,Marketing and Sales,307,,307
583,45,GA185,Finance and Economics,307,,307
584,46,GA186,Business with Entrepreneurship,297,,297
585,47,GA187,Rural Enterprise and Agri-Business (Mountbellew Campus),280,,280
586,48,GA281,Film and Documentary,287,,287
587,49,GA282,Heritage Studies,238,,238
588,50,GA283,Contemporary Art,260,,260
589,51,GA284,Design,309,,309
590,52,GA380,International Hotel Management,225,,225
591,53,GA381,International Tourism Management,261,,261
592,54,GA382,Culinary and Gastronomic Science,225,,225
