,index,Course Code,Course Title,EOS,Mid,EOS_Points,Mid_Points
0,10,AL801,Software Design (Game Development or Cloud Computing),295,326,295,326
1,11,AL810,Quantity Surveying,300,340,300,340
2,12,AL820,Mechanical and Polymer Engineering,299,371,299,371
3,13,AL830,General Nursing,418,440,418,440
4,14,AL832,Psychiatric Nursing,377,388,377,388
5,15,AL836,Health Science with Nutrition,354,389,354,389
6,16,AL837,Sports Science with Exercise Physiology,346,369,346,369
7,17,AL838,Biotechnology,301,338,301,338
8,18,AL839,Microbiology,318,380,318,380
9,19,AL840,Pharmaceutical Science,312,388,312,388
10,20,AL841,Athletic and Rehabilitation Therapy,402,431,402,431
11,21,AL842,Bioveterinary Science,304,367,304,367
12,22,AL843,Physical Activity and Health Science,317,337,317,337
13,23,AL844,Toxicology and Analytical Science,337,421,337,421
14,24,AL850,Business,308,359,308,359
15,25,AL851,Business and Law,300,359,300,359
16,26,AL852,Accounting (with optional placement),306,366,306,366
17,27,AL853,Accounting and Law,377,397,377,397
18,28,AL855,Hospitality Management (with International Placement),310,337,310,337
19,29,AL860,Social Care Practice,300,338,300,338
20,30,AL861,Animation and Illustration (Portfolio /Interview Required),#789,948,789,948
21,31,AL870,Applied Psychology (4 year programme),366,390,366,390
22,34,CW018,Business (with options - Wexford),250,356,250,356
23,35,CW028,Early Childhood Education and Care (Wexford),249,308,249,308
24,36,CW038,Art (Portfolio - Wexford),#700,700,700,700
25,37,CW068,Applied Social Studies - Professional Social Care (Wexford),260,287,260,287
26,38,CW078,Sustainable Farm Management and Agribusiness (Wexford),270,324,270,324
27,39,CW088,Visual Communications and Design (Wexford),270,327,270,327
28,40,CW108,Biosciences (with options),276,329,276,329
29,41,CW178,Sport Science (with options),390,412,390,412
30,42,CW188,Sport Rehabilitation and Athletic Therapy,440,464,440,464
31,43,CW208,Computer Games Development,280,347,280,347
32,44,CW238,Software Development,298,326,298,326
33,45,CW248,Information Technology Management,288,329,288,329
34,46,CW258,Cybercrime and IT Security,290,319,290,319
35,47,CW438,Construction (with options QSY/FBS),263,303,263,303
36,48,CW468,Architectural Technology,260,317,260,317
37,49,CW478,Civil Engineering,331,372,331,372
38,50,CW548,Mechanical Engineering,323,352,323,352
39,51,CW558,Electronic Systems,262,323,262,323
40,1,CW568,Aerospace Engineering,368,412,368,412
41,2,CW578,TV and Media Production,360,388,360,388
42,3,CW708,Law - LLB,298,343,298,343
43,4,CW728,Product Design Innovation,252,330,252,330
44,5,CW748,Early Childhood Education and Care,275,308,275,308
45,6,CW758,Applied Social Studies - Professional Social Care,270,317,270,317
46,7,CW808,Media and Public Relations,252,336,252,336
47,8,CW858,Sport Management and Coaching (with options - Portfolio required),#700,700,700,700
48,9,CW908,Business (with options),270,307,270,307
49,10,CW938,Business with Law,281,338,281,338
50,11,CW948,Accounting,307,361,307,361
51,14,PC405,Citizenship and Community Studies,227,255,227,255
52,15,PC410,Humanities (fulfils Teaching Council requirements),219,289,219,289
