Course Code,Course Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS 2020,EOS 2019,EOS 2018
GA378,Culinary and Gastronomic Science,200.0,160.0,219.0,,219.0,160.0,189.0
GA470,Construction Management,246.0,,244.0,243.0,243.0,243.0,242.0
GA471,Quantity Surveying and Construction Economics,234.0,,200.0,,200.0,205.0,206.0
GA472,Architectural Technology,260.0,,226.0,,226.0,200.0,228.0
GA473,Civil Engineering,304.0,,241.0,,241.0,247.0,241.0
GA570,Software and Electronic Engineering,225.0,,224.0,,224.0,204.0,207.0
GA670,Mechanical Engineering,294.0,,265.0,,265.0,261.0,260.0
GA673,Energy Engineering,279.0,,260.0,,260.0,275.0,242.0
GA674,Biomedical Engineering,308.0,,298.0,,298.0,303.0,308.0
GA675,Agricultural Engineering,290.0,,298.0,,298.0,282.0,280.0
GA676,Engineering (Common Entry to Manu/Agri/Biomed/Ener,304.0,,290.0,,290.0,291.0,290.0
GA677,Manufacturing Engineering Design,308.0,,235.0,,235.0,235.0,216.0
GA770,Applied Freshwater and Marine Biology,303.0,,280.0,,280.0,280.0,280.0
GA771,Applied Biology and Biopharmaceutical Science,302.0,,280.0,,280.0,280.0,280.0
GA772,Chemical and Pharmaceutical Science,310.0,,280.0,,280.0,293.0,280.0
GA773,Physics and Instrumentation,302.0,,299.0,,299.0,308.0,305.0
GA774,Science (Undenominated),302.0,,289.0,,289.0,288.0,280.0
GA775,Computing in Software Development,280.0,,260.0,,260.0,261.0,260.0
GA776,Computing and Digital Media,244.0,,241.0,,241.0,240.0,240.0
GA777,Agriculture and Environmental Management,281.0,,281.0,,281.0,290.0,290.0
GA862,History and Geography,195.0,195.0,178.0,,178.0,161.0,186.0
GA864,Early Childhood Education and Care,170.0,170.0,214.0,204.0,204.0,,
GA870,Outdoor Education and Leisure,166.0,166.0,182.0,171.0,171.0,161.0,171.0
GA871,Early Childhood Education and Care,196.0,,190.0,,190.0,190.0,200.0
GA872,Culture and Environment,201.0,,196.0,,196.0,224.0,228.0
GA876,Community Development and Youth Work (Level 7),,,,,,,
GA879,Applied Social Care,241.0,,244.0,,244.0,242.0,262.0
GA970,Furniture Design and Manufacture,302.0,,,,,225.0,236.0
GA971,Furniture Making and Architectural Woodworking,369.0,,,,,200.0,192.0
GA973,Furniture and Digital Manufacturing,,,,,,,
GA974,Furniture Design  Making and Technology - Common E,422.0,,214.0,,214.0,,
GB001,Business,,,,,115.0,,144.0
LY107,Business - Common Entry,189.0,189.0,161.0,161.0,161.0,162.0,169.0
LY206,Sports Studies,147.0,126.0,149.0,148.0,148.0,137.0,137.0
LY207,Law with Criminal Justice,161.0,161.0,160.0,160.0,160.0,160.0,160.0
LY317,Culinary Arts,205.0,186.0,229.0,224.0,224.0,170.0,178.0
LY327,Hospitality And Tourism - Common Entry,180.0,178.0,170.0,170.0,170.0,162.0,169.0
LY427,Digital Film and Video,217.0,217.0,172.0,170.0,172.0,170.0,172.0
LY437,Animation,183.0,,198.0,223.0,198.0,169.0,218.0
LY447,Fashion with Promotion,189.0,,266.0,279.0,266.0,266.0,206.0
LY457,Graphic and Digital Design,188.0,188.0,179.0,204.0,189.0,171.0,180.0
LY507,Quantity Surveying,204.0,163.0,181.0,181.0,181.0,164.0,166.0
LY527,Civil Engineering,164.0,164.0,165.0,163.0,163.0,166.0,176.0
LY606,Electric Vehicle Engineering,216.0,149.0,,,,,
LY607,Electronic Engineering,198.0,198.0,160.0,,160.0,187.0,164.0
LY617,Mechanical Engineering,163.0,163.0,180.0,180.0,180.0,180.0,199.0
LY707,Computer Games Development,206.0,,204.0,,204.0,234.0,198.0
LY717,Computing,180.0,160.0,164.0,160.0,160.0,181.0,165.0
LY737,Computer Security and Digital Forensics,161.0,161.0,169.0,169.0,169.0,172.0,169.0
LY806,Pharmacy Technician,172.0,172.0,232.0,,232.0,216.0,140.0
LY816,Dental Nursing,180.0,,233.0,223.0,223.0,180.0,173.0
LY817,Bioscience,250.0,,248.0,,248.0,237.0,258.0
LY826,Health Science with Physiotherapy Studies,487.0,476.0,456.0,401.0,339.0,309.0,
LY836,Health Science with Occupational Therapy Studies,451.0,433.0,473.0,408.0,278.0,245.0,
LY837,Food Science and Nutrition,215.0,215.0,194.0,194.0,194.0,165.0,189.0
LY846,Health Science with Dietetics Studies,336.0,264.0,316.0,316.0,291.0,316.0,
LY847,Veterinary Nursing,389.0,,367.0,367.0,367.0,347.0,356.0
LY867,Pharmaceutical and Medicinal Science,179.0,170.0,163.0,163.0,163.0,181.0,163.0
LY877,Agriculture,200.0,,202.0,181.0,181.0,188.0,204.0
LY906,Early Childhood Care  Health and Education,154.0,,205.0,161.0,161.0,135.0,109.0
LY916,Health and Social Care,195.0,180.0,181.0,,181.0,147.0,108.0
LC221,Accounting and Finance,243.0,,241.0,,251.0,233.0,252.0
LC222,Marketing and Management,259.0,,270.0,,270.0,270.0,299.0
LC228,Sports Development and Coaching,214.0,,205.0,,205.0,253.0,250.0
LC230,Business with Computing,241.0,224.0,217.0,,217.0,232.0,250.0
LC235,Internet Systems Development,207.0,,205.0,,205.0,226.0,213.0
LC251,Civil Engineering,205.0,,206.0,,206.0,200.0,200.0
LC260,Applied Biology,338.0,,326.0,,326.0,260.0,227.0
LC267,Forensic and Pharmaceutical Sciences,400.0,,329.0,,329.0,278.0,279.0
LC268,Medical Technology,384.0,,289.0,,289.0,287.0,233.0
LC270,Music Technology and Production,354.0,,307.0,,307.0,327.0,327.0
LC271,Electrical Engineering,329.0,316.0,261.0,,261.0,241.0,241.0
LC276,Creative Broadcast and Film Production,310.0,300.0,297.0,,297.0,300.0,289.0
LC277,Industrial Automation and Robotic Systems,261.0,,232.0,,232.0,226.0,211.0
LC278,Renewable and Electrical Energy Engineering,306.0,283.0,280.0,,280.0,317.0,215.0
LC279,Electronic Engineering with Computer Systems,242.0,,214.0,,226.0,200.0,221.0
LC281,Automobile Technology,277.0,,208.0,,208.0,208.0,198.0
LC283,Precision Engineering,207.0,,227.0,,233.0,242.0,211.0
LC284,Agricultural Mechanisation at Salesian Agricultura,192.0,,200.0,,200.0,209.0,189.0
LC285,Mechanical Engineering,299.0,292.0,272.0,,272.0,242.0,236.0
LC286,Road Transport Technology and Management,294.0,,264.0,,264.0,186.0,231.0
LC290,Sports Development Performance,208.0,,188.0,,188.0,155.0,201.0
LC322,Enterprise and Innovation,228.0,,,,,,
LC336,Computing,219.0,,207.0,,222.0,,
LC396,Beauty and Spa Services,319.0,309.0,,,,,
LC397,Business Studies with Sports,233.0,,,,,,
LC398,Culinary Arts,215.0,,163.0,,163.0,,
LC399,Hospitality Supervision,137.0,,148.0,,148.0,,
LC415,Business,172.0,,197.0,,197.0,,
LC423,Applied Strength and Conditioning,145.0,,157.0,,157.0,169.0,234.0
LC425,Environmental Science,229.0,,278.0,,278.0,201.0,246.0
LC504,Creative Media and Design,155.0,,192.0,,192.0,126.0,180.0
LC602,Social Care Work,251.0,,260.0,,260.0,222.0,311.0
LM180,Equine Science,351.0,,337.0,,328.0,338.0,301.0
SG101,Business,167.0,120.0,160.0,160.0,160.0,,112.0
SG102,Computing (Level 6 - General Entry),254.0,,254.0,,254.0,190.0,105.0
SG131,Computing - Games Development,271.0,,280.0,,280.0,168.0,198.0
SG134,Applied Sport with Business,200.0,,215.0,,215.0,,
SG135,Business in Tourism with Event Management,194.0,,187.0,,187.0,187.0,153.0
SG136,Computing - Software Development,279.0,,272.0,,272.0,207.0,207.0
SG137,Computing in Computer Networks and Cyber Security,262.0,,324.0,,326.0,244.0,205.0
SG138,Computing (Level 7 - General Entry),299.0,,260.0,,260.0,271.0,236.0
SG139,Business in Marketing,269.0,,,,,,
SG231,Fine Art,375.0,375.0,449.0,449.0,449.0,248.0,345.0
SG232,Creative Design,270.0,,273.0,,276.0,207.0,206.0
SG235,Performing Arts (Theatre Design),205.0,,319.0,,319.0,216.0,271.0
SG236,Performing Arts (Acting),204.0,,235.0,,235.0,225.0,224.0
SG300,Engineering (General Entry),202.0,163.0,209.0,,209.0,177.0,189.0
SG302,Construction Economics,174.0,,184.0,,184.0,161.0,189.0
SG308,Applied Construction Technology,199.0,130.0,171.0,,171.0,328.0,
SG330,Engineering (General Entry),262.0,,243.0,,243.0,233.0,250.0
SG331,Interior Architecture and Design,222.0,,236.0,,236.0,213.0,206.0
SG332,Advanced Wood and Sustainable Building Technology,217.0,,208.0,,208.0,180.0,170.0
SG333,Mechanical Engineering,225.0,,216.0,,216.0,216.0,208.0
SG334,Mechatronic Engineering,290.0,,290.0,,290.0,288.0,292.0
SG335,Engineering in Mechatronic Systems (Interview  Wor,,,,,,,
SG336,Precision Engineering and Design,341.0,,309.0,,309.0,263.0,320.0
SG338,Civil Engineering,226.0,,245.0,,245.0,226.0,196.0
SG339,Quantity Surveying,216.0,,195.0,,195.0,188.0,188.0
SG401,Science,282.0,128.0,209.0,209.0,209.0,175.0,122.0
SG404,Environmental Science with Ecology (Level 6),388.0,,264.0,264.0,358.0,,
SG406,Health and Exercise Science,396.0,,367.0,,367.0,397.0,
SG431,Pharmaceutical Science with Drug Development,287.0,,269.0,,269.0,262.0,268.0
SG433,Occupational Safety and Health,243.0,,223.0,,223.0,224.0,226.0
SG434,Human Nutrition,299.0,,280.0,,280.0,288.0,297.0
SG435,Health Science and Physiology,296.0,,289.0,,289.0,288.0,298.0
SG436,Biomedical Science,260.0,,262.0,,262.0,268.0,261.0
SG437,Forensic Investigation and Analysis,252.0,,243.0,,243.0,237.0,240.0
SG439,Environmental Science with Ecology (Level 7),253.0,,254.0,,254.0,,
SG530,Health and Medical Information Science (Online),387.0,,285.0,285.0,285.0,,
SG535,Business Administration,241.0,,228.0,,228.0,186.0,236.0
SG536,Business,233.0,,223.0,,223.0,183.0,188.0
TL651,Science - Biological and Environmental Studies,215.0,,223.0,223.0,233.0,207.0,232.0
TL652,Science - Pharmacy Technician,222.0,,260.0,,260.0,250.0,258.0
TL701,Animation  Visual Effects and Motion Design (Level,,,228.0,,228.0,,
TL702,TV  Radio and New Media (Level 7),222.0,,243.0,,243.0,,
TL710,Computing with Software Development,297.0,,232.0,,232.0,209.0,204.0
TL711,Computing with Games Development,238.0,,224.0,,224.0,202.0,205.0
TL715,Computing (Degree Award options),261.0,,251.0,,251.0,214.0,213.0
TL716,Computer Systems and Networking,227.0,,269.0,,269.0,309.0,
TL731,Business (Major Specialism in: Acctng or Mktg or M,232.0,,219.0,,219.0,207.0,212.0
TL742,Construction Management,,,,,,,
TL744,Agricultural Engineering,220.0,,243.0,,243.0,228.0,251.0
TL745,Civil Engineering,243.0,243.0,261.0,261.0,145.0,208.0,280.0
TL747,Mechanical and Automation Engineering,254.0,,200.0,,200.0,,221.0
TL748,Agricultural Science,233.0,,249.0,,249.0,271.0,260.0
TL755,Pharmaceutical Science (Degree Award options),228.0,,261.0,,261.0,259.0,244.0
TL758,Animal Bioscience,234.0,,251.0,,261.0,250.0,260.0
TL771,Health and Leisure (Degree Award Options),211.0,,208.0,,208.0,215.0,204.0
