Course Code,Course Title,EOS 2021,EOS Mid 2021,EOS 2020,EOS Mid 2020,EOS 2019,EOS Mid 2019,EOS 2018,EOS Mid 2018
CR007,Analytical and Pharmaceutical Chemistry,272.0,531.0,240.0,487.0,246.0,455.0,292.0,488.0
CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College and 3 days in CI,336.0,453.0,321.0,422.0,270.0,368.0,289.0,389.0
CR016,Software Development,351.0,445.0,307.0,413.0,270.0,393.0,270.0,362.0
CR021,Business (Common Entry),253.0,451.0,255.0,433.0,250.0,397.0,240.0,402.0
CR022,Business Administration,172.0,348.0,190.0,336.0,206.0,262.0,192.0,299.0
CR031,Social Care Work,360.0,440.0,346.0,411.0,326.0,389.0,326.0,392.0
CR032,Recreation and Leisure Management,343.0,422.0,298.0,378.0,250.0,349.0,260.0,349.0
CR035,Community Development,133.0,337.0,100.0,251.0,162.0,271.0,117.0,215.0
CR041,Tourism Management,180.0,343.0,216.0,399.0,180.0,318.0,185.0,311.0
CR042,Hospitality Management,205.0,356.0,208.0,316.0,101.0,307.0,182.0,284.0
CR046,Automotive Technology and Management,227.0,368.0,216.0,337.0,214.0,263.0,200.0,260.0
CR051,Civil Engineering,259.0,431.0,248.0,451.0,244.0,403.0,226.0,410.0
CR052,Construction,270.0,368.0,251.0,367.0,232.0,311.0,225.0,309.0
CR053,Interior Architecture,375.0,463.0,308.0,434.0,253.0,367.0,252.0,378.0
CR055,Environmental Engineering,297.0,476.0,258.0,409.0,255.0,424.0,226.0,389.0
CR061,Electronic Engineering,300.0,465.0,260.0,444.0,308.0,520.0,251.0,421.0
CR062,Electrical Engineering,320.0,413.0,300.0,401.0,279.0,356.0,250.0,343.0
CR071,Mechanical Engineering,263.0,475.0,261.0,444.0,250.0,410.0,270.0,424.0
CR075,Biomedical Engineering,315.0,509.0,306.0,498.0,350.0,490.0,312.0,476.0
CR090,Architectural Technology,308.0,475.0,266.0,411.0,251.0,419.0,244.0,404.0
CR094,Nautical Science at National Maritime College of Ireland,256.0,404.0,243.0,380.0,237.0,377.0,257.0,387.0
CR095,Marine Engineering at National Maritime College of Ireland,234.0,441.0,255.0,389.0,224.0,339.0,241.0,339.0
CR300,Physical Sciences (Common Entry),260.0,565.0,282.0,476.0,270.0,509.0,300.0,498.0
CR620,Early Childhood Education and Care,336.0,466.0,357.0,454.0,337.0,419.0,341.0,418.0
CR640,Culinary Arts,174.0,399.0,244.0,392.0,125.0,309.0,197.0,318.0
CR650,Beverage Industry Management,162.0,367.0,209.0,316.0,182.0,300.0,120.0,262.0
CR655,Culinary Studies,113.0,320.0,189.0,290.0,116.0,281.0,139.0,272.0
CR657,Hospitality Studies,171.0,261.0,163.0,198.0,162.0,236.0,154.0,208.0
CR805,Marine Electrotechnology at National Maritime College of Ireland,229.0,445.0,235.0,326.0,217.0,328.0,244.0,340.0
CR888,Information Technology,300.0,391.0,290.0,372.0,271.0,356.0,280.0,372.0
DS602,Higher Certificate in Science in Computing Level 6 (2 years),273.0,403.0,198.0,367.0,225.0,233.0,-38.0,92.0
DS701,Bachelor of Business Level 7 (3 years),136.0,316.0,299.0,299.0,,,120.0,298.0
DS702,BSc in Computing Level 7 (3 years),136.0,309.0,290.0,413.0,102.0,365.0,200.0,282.0
DB528,Applied Social Care,104.0,321.0,207.0,337.0,177.0,307.0,129.0,278.0
DB534,Sound Engineering and Music Production,139.0,357.0,208.0,338.0,179.0,309.0,164.0,351.0
DB563,Arts,137.0,414.0,161.0,357.0,128.0,318.0,136.0,327.0
DB571,Business Studies,113.0,462.0,122.0,398.0,134.0,371.0,146.0,358.0
DB572,Business (Accounting),141.0,464.0,117.0,368.0,273.0,403.0,117.0,412.0
DB573,Business (Marketing),137.0,367.0,117.0,388.0,127.0,291.0,135.0,294.0
DB574,Business (Information Technology),173.0,339.0,136.0,388.0,237.0,367.0,144.0,429.0
DB576,Film and Creative Media,101.0,399.0,208.0,338.0,100.0,318.0,168.0,298.0
